parsed,fishbase
Edentoliparis terraenovae,Edentoliparis terraenovae
Eigenmannia trilineata,Eigenmannia trilineata
Einara edentulata,NA
Elacatinus chancei,Elacatinus chancei
Elacatinus dilepis,Tigrigobius dilepis
Elacatinus evelynae,Elacatinus evelynae
Elacatinus louisae,Elacatinus louisae
Elacatinus macrodon,Tigrigobius macrodon
Elacatinus multifasciatus,Tigrigobius multifasciatus
Elacatinus oceanops,Elacatinus oceanops
Elacatinus prochilos,Elacatinus prochilos
Elacatinus saucrus,Tigrigobius saucrus
Elagatis bipinnulata,Elagatis bipinnulata
Elasmobranchii,NA
Elassoma evergladei,Elassoma evergladei
Elates ransonnetii,Elates ransonnettii
Electrona antarctica,Electrona antarctica
Electrona carlsbergi,Electrona carlsbergi
Electrona paucirastra,Electrona paucirastra
Electrona risso,Electrona risso
Electrona rissoi,Electrona risso
Electrona,NA
Electrona subaspera,Electrona subaspera
Eleginus gracilis,Eleginus gracilis
Eleutheronema rhadinum,Eleutheronema rhadinum
Eleutheronema tetradactylum,Eleutheronema tetradactylum
Elopiformes,NA
Elops,NA
Elops hawaiensis,Elops hawaiensis
Elops saurus,Elops saurus
Embassichthys bathybius,Embassichthys bathybius
Embiotoca jacksoni,Embiotoca jacksoni
Embiotoca lateralis,Embiotoca lateralis
Embiotoca,NA
Embiotocidae,NA
Emblemaria pandionis,Emblemaria pandionis
Emblemaria piratula,Emblemaria piratula
Emmelichthyidae,NA
Emmelichthys nitidus,Emmelichthys nitidus nitidus
Emmelichthys struhsakeri,Emmelichthys struhsakeri
Encheliophis gracilis,Encheliophis gracilis
Encheliophis homei,Encheliophis homei
Enchelycore nigricans,Enchelycore nigricans
Enchelycore pardalis,Enchelycore pardalis
Enchelycore ramosa,Enchelycore ramosa
Enchelyopus cimbrius,Enchelyopus cimbrius
Encrasicholina heteroloba,Encrasicholina heteroloba
Encrasicholina punctifer,Encrasicholina punctifer
Engraulidae,NA
Engraulis anchoita,Engraulis anchoita
Engraulis australis,Engraulis australis
Engraulis encrasicolus,Engraulis encrasicolus
Engraulis eurystole,Engraulis eurystole
Engraulis japonicus,Engraulis japonicus
Engraulis mordax,Engraulis mordax
Engyophrys senta,Engyophrys senta
Engyprosopon bleekeri,Engyprosopon bleekeri
Engyprosopon grandisquama,Engyprosopon grandisquama
Engyprosopon grandisquamum,NA
Engyprosopon latifrons,Engyprosopon latifrons
Engyprosopon longipelvis,Engyprosopon longipelvis
Engyprosopon maldivensis,Engyprosopon maldivensis
Engyprosopon multisquama,Engyprosopon multisquama
Engyprosopon osculus,Engyprosopon osculus
Engyprosopon,NA
Engyprosopon,NA
Engyprosopon,NA
Engyprosopon,NA
Engyprosopon,NA
Enigmapercis reducta,Enigmapercis reducta
Enneacanthus gloriosus,Enneacanthus gloriosus
Enneapterygius annulatus,Enneapterygius atrogulare
Enneapterygius atrogulare,Enneapterygius atrogulare
Enneapterygius etheostomus,Enneapterygius etheostomus
Enneapterygius rufopileus,Enneapterygius rufopileus
Enochrys bison,NA
Enophrys bison,Enophrys bison
Enoplosus armatus,Enoplosus armatus
Entelurus aequoreus,Entelurus aequoreus
Entomacrodus stellifer,Entomacrodus stellifer
Entomacrodus striatus,Entomacrodus striatus
Eocallionymus papilio,Eocallionymus papilio
Eopsetta jordani,Eopsetta jordani
Ephippus orbis,Ephippus orbis
Epibulus insidiator,Epibulus insidiator
Epigonus denticulatus,Epigonus denticulatus
Epigonus lenimen,Epigonus lenimen
Epigonus macrops,Epigonus robustus
Epigonus occidentalis,Epigonus occidentalis
Epigonus pandionis,Epigonus pandionis
Epigonus robustus,Epigonus robustus
Epigonus,NA
Epigonus telescopus,Epigonus telescopus
Epinephelides armatus,Epinephelides armatus
Epinephelus,NA
Epinephelus adscensionis,Epinephelus adscensionis
Epinephelus aeneus,Epinephelus aeneus
Epinephelus akaara,Epinephelus akaara
Epinephelus amblycephalus,Epinephelus amblycephalus
Epinephelus areolatus,Epinephelus areolatus
Epinephelus,NA
Epinephelus bleekeri,Epinephelus bleekeri
Epinephelus caeruleopunctatus,Epinephelus coeruleopunctatus
Epinephelus coioides,Epinephelus coioides
Epinephelus,NA
Epinephelus corallicola,Epinephelus corallicola
Epinephelus corallicolla,NA
Epinephelus costea,NA
Epinephelus cyanopodus,Epinephelus cyanopodus
Epinephelus daemelii,Epinephelus daemelii
Epinephelus diacanthus,Epinephelus diacanthus
Epinephelus drummondhayi,Epinephelus drummondhayi
Epinephelus fasciatus,Epinephelus fasciatus
Epinephelus flavolimbatus,Hyporthodus flavolimbatus
Epinephelus fuscoguttatus,Epinephelus fuscoguttatus
Epinephelus guttatus,Epinephelus guttatus
Epinephelus haifensis,Hyporthodus haifensis
Epinephelus heniochus,Epinephelus heniochus
Epinephelus hexagonatus,Epinephelus hexagonatus
Epinephelus itajara,Epinephelus itajara
Epinephelus lanceolatus,Epinephelus lanceolatus
Epinephelus latifasciatus,Epinephelus latifasciatus
Epinephelus longispinis,Epinephelus longispinis
Epinephelus macrospilos,Epinephelus macrospilos
Epinephelus maculatus,Epinephelus maculatus
Epinephelus malabaricus,Epinephelus malabaricus
Epinephelus marginatus,Epinephelus marginatus
Epinephelus merra,Epinephelus merra
Epinephelus morio,Epinephelus morio
Epinephelus morrhua,Epinephelus morrhua
Epinephelus multinotatus,Epinephelus multinotatus
Epinephelus mystacinus,Hyporthodus mystacinus
Epinephelus nigritus,Hyporthodus nigritus
Epinephelus niveatus,Hyporthodus niveatus
Epinephelus ongus,Epinephelus ongus
Epinephelus polyphekadion,Epinephelus polyphekadion
Epinephelus quernus,Hyporthodus quernus
Epinephelus quoyanus,Epinephelus quoyanus
Epinephelus radiatus,Epinephelus radiatus
Epinephelus rivulatus,Epinephelus rivulatus
Epinephelus sexfasciatus,Epinephelus sexfasciatus
Epinephelus socialis,Epinephelus socialis
Epinephelus,NA
Epinephelus,NA
Epinephelus spilotoceps,Epinephelus spilotoceps
Epinephelus stictus,Epinephelus stictus
Epinephelus striatus,Epinephelus striatus
Epinephelus tauvina,Epinephelus tauvina
Epinephelus undulatostriatus,Epinephelus undulatostriatus
Eptatretus burgeri,Eptatretus burgeri
Eptatretus cirrhatus,Eptatretus cirrhatus
Eptatretus menezesi,Eptatretus menezesi
Eptatretus okinoseanus,Eptatretus okinoseanus
Eptatretus,NA
Eptatretus stoutii,Eptatretus stoutii
Equetus acuminatus,Pareques acuminatus
Equetus lanceolatus,Equetus lanceolatus
Equetus punctatus,Equetus punctatus
Equetus,NA
Equetus umbrosus,Pareques umbrosus
Equulites elongatus,Equulites elongatus
Equulites leuciscus,Equulites leuciscus
Equulites lineolatus,Equulites lineolatus
Equulites rivulatus,Equulites rivulatus
Ericara microlepis,NA
Ericymba buccata,Notropis buccatus
Eridacnis radcliffei,Eridacnis radcliffei
Erilepis zonifer,Erilepis zonifer
Erimonax monachus,Cyprinella monacha
Erimyzon oblongus,Erimyzon oblongus
Erimyzon sucetta,Erimyzon sucetta
Erisphex aniarus,Erisphex aniarus
Erisphex pottii,Erisphex pottii
Erisphex simplex,Erisphex simplex
Erosa erosa,Erosa erosa
Erythrinus erythrinus,Erythrinus erythrinus
Erythrocles schlegelii,Erythrocles schlegelii
Esox americanus,Esox americanus
Esox lucius,Esox lucius
Esox masquinongy,Esox masquinongy
Esox niger,Esox niger
Etelis carbunculus,Etelis carbunculus
Etelis oculatus,Etelis oculatus
Etheostoma,NA
Etheostoma blennioides,Etheostoma blennioides
Etheostoma blennoides,NA
Etheostoma caeruleum,Etheostoma caeruleum
Etheostoma chlorobranchium,Etheostoma chlorobranchium
Etheostoma exile,Etheostoma exile
Etheostoma flabellare,Etheostoma flabellare
Etheostoma nigrum,Etheostoma nigrum
Etheostoma olmstedi,Etheostoma olmstedi
Etheostoma,NA
Etheostoma spectabile,Etheostoma spectabile
Etheostoma vulneratum,Etheostoma vulneratum
Etheostoma zonale,Etheostoma zonale
Etmopterus,NA
Etmopterus baxteri,Etmopterus baxteri
Etmopterus brachyurus,Etmopterus brachyurus
Etmopterus gracilispinis,Etmopterus gracilispinis
Etmopterus granulosus,Etmopterus granulosus
Etmopterus lucifer,Etmopterus lucifer
Etmopterus molleri,Etmopterus molleri
Etmopterus princeps,Etmopterus princeps
Etmopterus pusillus,Etmopterus pusillus
Etmopterus,NA
Etmopterus,NA
Etmopterus spinax,Etmopterus spinax
Etmopterus splendidus,Etmopterus splendidus
Etmopterus unicolor,Etmopterus unicolor
Etropus,NA
Etropus crossotus,Etropus crossotus
Etropus longimanus,Etropus longimanus
Etropus microstomus,Etropus microstomus
Etropus rimosus,Etropus rimosus
Etropus,NA
Etrumeus teres,Etrumeus sadina
Eubalichthys bucephalus,Eubalichthys bucephalus
Eubalichthys caeruleoguttatus,Eubalichthys caeruleoguttatus
Eubalichthys cyanoura,Eubalichthys cyanoura
Eubalichthys gunnii,Eubalichthys gunnii
Eubalichthys mosaicus,Eubalichthys mosaicus
Eubleekeria splendens,Eubleekeria splendens
Eucinostomus argenteus,Eucinostomus argenteus
Eucinostomus gula,Eucinostomus gula
Eucinostomus jonesii,Eucinostomus jonesii
Eucinostomus lefroyi,Ulaema lefroyi
Eucinostomus melanopterus,Eucinostomus melanopterus
Eucinostomus pseudogula,NA
Eucinostomus,NA
Euclichthys polynemus,Euclichthys polynemus
Eucrossorhinus dasypogon,Eucrossorhinus dasypogon
Eugerres plumieri,Eugerres plumieri
Euleptorhamphus,NA
Euleptorhamphus velox,Euleptorhamphus velox
Euleptorhamphus viridis,Euleptorhamphus viridis
Eumecichthys fiski,Eumecichthys fiski
Eumesogrammus praecisus,Eumesogrammus praecisus
Eumicrotremus derjugini,Eumicrotremus derjugini
Eumicrotremus orbis,Eumicrotremus orbis
Eumicrotremus spinosus,Eumicrotremus spinosus
Eupetrichthys angustipes,Eupetrichthys angustipes
Euristhmus lepturus,Euristhmus lepturus
Euristhmus nudiceps,Euristhmus nudiceps
Eurypegasus draconis,Eurypegasus draconis
Eurypharyngidae,NA
Eurypharynx,NA
Eurypharynx pelecanoides,Eurypharynx pelecanoides
Eusphyra blochii,Eusphyra blochii
Eustomias,NA
Eustomias bibulbosus,Eustomias bibulbosus
Eustomias bigelowi,Eustomias bigelowi
Eustomias braueri,Eustomias braueri
Eustomias dubius,Eustomias dubius
Eustomias enbarbatus,Eustomias enbarbatus
Eustomias filifer,Eustomias filifer
Eustomias longibarba,Eustomias longibarba
Eustomias obscurus,Eustomias obscurus
Eustomias radiciphilis,NA
Eustomias schmidti,Eustomias schmidti
Eustomias simplex,Eustomias simplex
Eustomias,NA
Eustomias tetranema,Eustomias tetranema
Eutaeniophorus festivus,Eutaeniophorus festivus
Eutaeniophorus,NA
Euthynnus affinis,Euthynnus affinis
Euthynnus alletteratus,Euthynnus alletteratus
Eutrigla gurnardus,Eutrigla gurnardus
Evermanella indica,NA
Evermannella,NA
Evermannella balbo,Evermannella balbo
Evermannella indica,Evermannella indica
Evermannella sicaria,Evermannella balbo
Evermannella,NA
Evermannellidae,NA
Evermannichthys spongicola,Evermannichthys spongicola
Eviota bimaculata,Eviota bimaculata
Eviota,NA
Evistias acutirostris,Evistias acutirostris
Evoxymetopon taeniatus,Evoxymetopon taeniatus
Evynnis cardinalis,Evynnis cardinalis
Evynnis tumifrons,Dentex tumifrons
Exallias brevis,Exallias brevis
Exocoetidae,NA
Exocoetus monocirrhus,Exocoetus monocirrhus
Exocoetus volitans,Exocoetus volitans
Facciolella oxyrhyncha,Facciolella oxyrhyncha
Scatophagidae,NA
Farlowella amazona,Farlowella amazonum
Fasciolella physonema,NA
Favonigobius lateralis,Favonigobius lateralis
Fenestraja plutonia,Fenestraja plutonia
Feroxodon multistriatus,Feroxodon multistriatus
Festucalex cinctus,Festucalex cinctus
Festucalex gibbsi,Festucalex gibbsi
Filicampus tigris,Filicampus tigris
Fistularia commersoni,Fistularia commersonii
Fistularia commersonii,Fistularia commersonii
Fistularia petimba,Fistularia petimba
Fistularia,NA
Fistularia,NA
Fistularia tabacaria,Fistularia tabacaria
Fistularis commersoni,Fistularia commersonii
Flabelligobius,NA
Flagellostomias,NA
Flagellostomias boureei,Flagellostomias boureei
Foa brachygramma,Foa brachygramma
Foa,NA
Foa fo,Foa fo
Foa,NA
Foetorepus agassizii,Foetorepus agassizii
Foetorepus calauropomus,Foetorepus calauropomus
Foetorepus dagmare,NA
Foetorepus phasis,Foetorepus phasis
Forcipiger flavissimus,Forcipiger flavissimus
Forcipiger longirostris,Forcipiger longirostris
Fowleria aurita,Fowleria aurita
Fowleria marmorata,Fowleria marmorata
Fowleria,NA
Fowleria,NA
Fowleria vaiulae,Fowleria vaiulae
Fowleria variegatus,NA
Fraudella carassiops,Fraudella carassiops
Fundulus chrysotus,Fundulus chrysotus
Fundulus confluentus,Fundulus confluentus
Fundulus diaphanus,Fundulus diaphanus
Fundulus notatus,Fundulus notatus
Fundulus seminolis,Fundulus seminolis
Furgaleus macki,Furgaleus macki
Fusigobius neophytus,Fusigobius neophytus
Gadella,NA
Gadella imberbis,Gadella imberbis
Gadella jordani,Gadella jordani
Gadella maraldi,Gadella maraldi
Gadella norops,Gadella norops
Gadiculus argenteus-thori,NA
Gadidae,NA
Gadiformes,NA
Gadomus aoteanus,Gadomus aoteanus
Gadomus arcuatus,Gadomus arcuatus
Gadomus fumosus,NA
Gadomus longifilis,Gadomus longifilis
Gadus macrocephalus,Gadus macrocephalus
Gadus morhua,Gadus morhua
Gadus ogac,Gadus macrocephalus
Gaidropsarus,NA
Gaidropsarus argentatus,Gaidropsarus argentatus
Gaidropsarus ensis,Gaidropsarus ensis
Gaidropsarus macrophthalmus,Gaidropsarus macrophthalmus
Gaidropsarus mediteraneus,NA
Gaidropsarus mediterraneus,Gaidropsarus mediterraneus
Gaidropsarus,NA
Gaidropsarus vulgaris,Gaidropsarus vulgaris
Galaxias anomalus,Galaxias anomalus
Galaxias argenteus,Galaxias argenteus
Galaxias brevipinnis,Galaxias brevipinnis
Galaxias cobitinis,Galaxias cobitinis
Galaxias depressiceps,Galaxias depressiceps
Galaxias divergens,Galaxias divergens
Galaxias eldoni,Galaxias eldoni
Galaxias fasciatus,Galaxias fasciatus
Galaxias gollumoides,Galaxias gollumoides
Galaxias macronasus,Galaxias macronasus
Galaxias maculatus,Galaxias maculatus
Galaxias paucispondylus,Galaxias paucispondylus
Galaxias postvectis,Galaxias postvectis
Galaxias prognathus,Galaxias prognathus
Galaxias pullus,Galaxias pullus
Galaxias,NA
Galaxias,NA
Galaxias,NA
Galaxias,NA
Galaxias,NA
Galaxias vulgaris,Galaxias vulgaris
Galeocerdo cuvier,Galeocerdo cuvier
Galeocharax knerii,Galeocharax knerii
Galeorhinus,NA
Galeorhinus galeus,Galeorhinus galeus
Galeus boardmani,Figaro boardmani
Galeus eastmani,Galeus eastmani
Galeus gracilis,Galeus gracilis
Galeus melastomus,Galeus melastomus
Galeus murinus,Galeus murinus
Galeus polli,Galeus polli
Galeus sauteri,Galeus sauteri
Galeus,NA
Gambusia affinis,Gambusia affinis
Gambusia holbrooki,Gambusia holbrooki
Gargariscus prionocephalus,Gargariscus prionocephalus
Gasterosteidae,NA
Gasterosteus aculeatus,Gasterosteus aculeatus
Gastropsetta frontalis,Gastropsetta frontalis
Gavialiceps taeniola,Gavialiceps taeniola
Gavialiceps taiwanensis,Gavialiceps taiwanensis
Gazza achlamys,Gazza achlamys
Gazza minuta,Gazza minuta
Gazza,NA
Gempylidae,NA
Gempylus serpens,Gempylus serpens
Genidens barbus,Genidens barbus
Genidens genidens,Genidens genidens
Genyagnus monopterygius,Genyagnus monopterygius
Genyatremus luteus,Genyatremus luteus
Genyonemus lineatus,Genyonemus lineatus
Genypterus,NA
Genypterus blacodes,Genypterus blacodes
Genypterus brasiliensis,Genypterus brasiliensis
Geotria australis,Geotria australis
Gephyroberyx darwinii,Gephyroberyx darwinii
Gephyroberyx japonicus,Gephyroberyx japonicus
Gerlachea australis,Gerlachea australis
Gerreidae,NA
Gerres cinereus,Gerres cinereus
Gerres erythrourus,Gerres erythrourus
Gerres filamentosus,Gerres filamentosus
Gerres macracanthus,Gerres macracanthus
Gerres oblongus,Gerres oblongus
Gerres oyena,Gerres oyena
Gerres subfasciatus,Gerres subfasciatus
Gibbonsia metzi,Gibbonsia metzi
Gibbonsia montereyensis,Gibbonsia montereyensis
Gibbonsia,NA
Gigantactis,NA
Gigantactis,NA
Gigantactis vanhoeffeni,Gigantactis vanhoeffeni
Gigantura,NA
Gigantura vorax,Gigantura chuni
Gila,NA
Gilbertidia sigalutes,Psychrolutes sigalutes
Gillellus,NA
Ginglymostoma cirratum,Ginglymostoma cirratum
Girella elevata,Girella elevata
Girella laevifrons,Girella laevifrons
Girella mezina,Girella mezina
Girella nigricans,Girella nigricans
Girella tephraeops,Girella tephraeops
Girella tricuspidata,Girella tricuspidata
Girella zebra,Girella zebra
Glaucosoma buergeri,Glaucosoma buergeri
Glaucosoma hebraicum,Glaucosoma hebraicum
Glaucosoma magnificum,Glaucosoma magnificum
Glaucosoma scapulare,Glaucosoma scapulare
Glossanodon australis,Glossanodon australis
Glossanodon pygmaeus,Glossanodon pygmaeus
Glossanodon semifasciatus,Glossanodon semifasciatus
Glyptocephalus,NA
Glyptocephalus cynoglossus,Glyptocephalus cynoglossus
Glyptocephalus stelleri,Glyptocephalus stelleri
Glyptocephalus zachirus,Glyptocephalus zachirus
Glyptophidium japonicum,Glyptophidium japonicum
Gnathagnus egregius,Xenocephalus egregius
Gnathanodon speciosus,Gnathanodon speciosus
Gnathodentex aureolineatus,Gnathodentex aureolineatus
Gnathodentex aurolineatus,Gnathodentex aureolineatus
Gnatholepis anjerensis,Gnatholepis anjerensis
Gnatholepis mystax,NA
Gnatholepis,NA
Gnatholepis thompsoni,Gnatholepis thompsoni
Gnathophis bracheatopos,Gnathophis bracheatopos
Gnathophis heterognathos,Gnathophis heterognathos
Gnathophis nasutus,Gnathophis nasutus
Gnathophis,NA
Gnathophis,NA
Gobiesocidae,NA
Gobiesox meandricus,NA
Gobiesox punctulatus,Gobiesox punctulatus
Gobiesox strumosus,Gobiesox strumosus
Gobiidae,NA
Gobiidae,NA
Gobiidae,NA
Gobiidae,NA
Gobiidae,NA
Gobiidae,NA
Gobiidae,NA
Gobiidae,NA
Gobiidae,NA
Gobiidae,NA
Gobiidae unidentified,NA
Gobiodon quinquestrigatus,Gobiodon quinquestrigatus
Gobiodon,NA
Gobiodon,NA
Gobio gobio,Gobio gobio
Gobiomorphus alpinus,Gobiomorphus alpinus
Gobiomorphus basalis,Gobiomorphus basalis
Gobiomorphus breviceps,Gobiomorphus breviceps
Gobiomorphus cotidianus,Gobiomorphus cotidianus
Gobiomorphus gobioides,Gobiomorphus gobioides
Gobiomorphus hubbsi,Gobiomorphus hubbsi
Gobiomorphus huttoni,Gobiomorphus huttoni
Gobiomorphus,NA
Gobionellus oceanicus,Gobionellus oceanicus
Gobiosoma bosc,Gobiosoma bosc
Gobiosoma grosvenori,Gobiosoma grosvenori
Gobiosoma hemigymnum,Gobiosoma hemigymnum
Gobiosoma robustum,Gobiosoma robustum
Gobius,NA
Gobius angolensis,Thorogobius angolensis
Gobius ater,Gobius ater
Gobius cobitis,Gobius cobitis
Gobius couchi,Gobius couchi
Gobiusculus flavescens,Gobiusculus flavescens
Gobius niger,Gobius niger
Gobius paganellus,Gobius paganellus
Gobius,NA
Gobius strictus,Gobius strictus
Gollum attenuatus,Gollum attenuatus
Gomphosus caeruleus,Gomphosus caeruleus
Gomphosus varius,Gomphosus varius
Gonichthys barnesi,Gonichthys barnesi
Gonichthys cocco,Gonichthys cocco
Gonichthys coccoi,Gonichthys cocco
Gonichthys,NA
Goniistius zonatus,Cheilodactylus zonatus
Gonorhynchus greyi,NA
Gonorynchus abbreviatus,Gonorynchus abbreviatus
Gonorynchus greyi,Gonorynchus greyi
Gonostoma,NA
Gonostoma atlanticum,Gonostoma atlanticum
Gonostoma bathyphilum,Sigmops bathyphilus
Gonostoma denudatum,Gonostoma denudatum
Gonostoma elongatum,Sigmops elongatus
Gonostoma gracile,Sigmops gracilis
Gonostoma,NA
Gonostomatidae,NA
Gonostomatidae,NA
Gorgasia hawaiiensis,Gorgasia hawaiiensis
Grahamichthys radiatus,NA
Grahamina,NA
Gramma loreto,Gramma loreto
Grammatidae,NA
Grammatobothus krempfi,Grammatobothus krempfi
Grammatobothus pennatus,Grammatobothus pennatus
Grammatobothus polyophthalmus,Grammatobothus polyophthalmus
Grammatobothus,NA
Grammatobothus,NA
Grammatobothus,NA
Grammatorcynus bicarinatus,Grammatorcynus bicarinatus
Grammatostomias,NA
Grammatostomias circularis,Grammatostomias circularis
Grammatostomias dentatus,Grammatostomias dentatus
Grammatostomias flagellibarba,Grammatostomias flagellibarba
Grammatostomias,NA
Grammicolepis brachiusculus,Grammicolepis brachiusculus
Grammistes sexlineatus,Grammistes sexlineatus
Grammoplites scaber,Grammoplites scaber
Graus nigra,Graus nigra
Guentherus altivelis,Guentherus altivela
Gunnelichthys pleurotaenia,Gunnellichthys pleurotaenia
Gymnacanthus detrisus,Gymnocanthus detrisus
Gymnacanthus galeatus,Gymnocanthus galeatus
Gymnachirus melas,Gymnachirus melas
Gymnapistes marmoratus,Gymnapistes marmoratus
Gymnapogon,NA
Gymnelus retrodorsalis,Gymnelus retrodorsalis
Gymnelus viridis,Gymnelus viridis
Gymnocanthus galeatus,Gymnocanthus galeatus
Gymnocanthus,NA
Gymnocanthus tricuspis,Gymnocanthus tricuspis
