parsed,lcvp
Eleocharis,
Eleocharis cellulosa,Eleocharis cellulosa Torr.
Eleocharis compressa,Eleocharis compressa Sull.
Eleocharis elongata,Eleocharis elongata Chapm.
Eleocharis geniculatus,
Eleocharis uniglumis,Eleocharis uniglumis (Link) Schult.
Ellisia nyctelea,Ellisia nyctelea (L.) L.
Elodea nuttallii,Elodea nuttallii (Planch.) H.St.John
Elymus albicans,Elymus albicans (Scribn. & J.G.Sm.) Á.Löve
Elymus canadensis,Elymus canadensis L.
Elymus caninus,Elymus caninus (L.) L.
Elymus elymoides,Elymus elymoides (Raf.) Swezey
Elymus repens,Elymus repens (L.) Gould
Elymus trachycaulus,Elymus violaceus (Hornem.) J.Feilberg
Elymus virginicus,Elymus virginicus L.
Elyna myosuroides,Carex simpliciuscula Wahlenb.
Elyonurus candidus,
Elytropappus scaber,Elytropappus scaber (L.f.) Druce
Emblica officinalis,Phyllanthus emblica L.
Emmenosperma cunninghamii,Emmenosperma cunninghamii Benth.
Emmotum nitens,Emmotum nitens (Benth.) Miers
Empetrum hermaphroditum,Empetrum nigrum L.
Empetrum nigrum,Empetrum nigrum L.
Endiandra acuminata,Endiandra acuminata C.T.White & W.D.Francis
Endiandra bessaphila,Endiandra bessaphila B.Hyland
Endiandra collinsii,
Endiandra compressa,Endiandra compressa C.T.White
Endiandra cowleyana,Endiandra cowleyana F.M.Bailey
Endiandra dichrophylla,Endiandra dichrophylla F.M.Bailey
Endiandra dielsiana,Endiandra dielsiana Teschner
Endiandra glauca,Endiandra glauca R.Br.
Endiandra globosa,Endiandra globosa Maiden & Betche
Endiandra hypotephra,Endiandra hypotephra F.Muell.
Endiandra impressicosta,Endiandra impressicosta C.K.Allen
Endiandra insignis,Endiandra insignis (F.M.Bailey) F.M.Bailey
Endiandra kingiana,Endiandra kingiana Gamble
Endiandra leptodendron,Endiandra leptodendron B.Hyland
Endiandra longipedicellata,Endiandra longipedicellata C.T.White
Endiandra maingayi,Endiandra maingayi Hook.f.
Endiandra microneura,Endiandra microneura C.T.White
Endiandra monothyra,Endiandra monothyra B.Hyland
Endiandra montana,Endiandra montana C.T.White
Endiandra muelleri,Endiandra muelleri Meisn.
Endiandra palmerstonii,Endiandra palmerstonii (F.M.Bailey) C.T.White & W.D.Francis
Endiandra phaeocarpa,Endiandra phaeocarpa B.Hyland
Endiandra sankeyana,Endiandra sankeyana F.M.Bailey
Endiandra wolfei,Endiandra wolfei B.Hyland
Endlicheria paniculata,Endlicheria paniculata (Spreng.) J.F.Macbr.
Endocomia canarioides,Endocomia canarioides (King) W.J.deWilde
Endospermum malaccense,Endospermum diadenum (Miq.) AiryShaw
Engelhardtia serrata,
Enicosanthum fuscum,Monoon fuscum (King) B.Xue & R.M.K.Saunders
Enneapogon desvauxii,Enneapogon desvauxii P.Beauv.
Entada phaseoloides,Entada phaseoloides (L.) Merr.
Enterolobium,
Enterolobium contortisiliqum,
Enterolobium contortisiliquum,Enterolobium contortisiliquum (Vell.) Morong
Enterolobium gummiferum,Enterolobium gummiferum (Mart.) J.F.Macbr.
Enterolobium schomburgkii,Enterolobium schomburgkii (Benth.) Benth.
Ephedra torreyana,Ephedra torreyana S.Watson
Epilobium anagallidifolium,Epilobium anagallidifolium Lam.
Epilobium angustifolium,Epilobium angustifolium L.
Epilobium ciliatum,Epilobium ciliatum Raf.
Epilobium glandulosum,Epilobium ciliatum Raf.
Epilobium hornemannii,Epilobium hornemannii Rchb.
Epilobium inornatum,Epilobium komarovianum H.Lév.
Epilobium latifolium,Epilobium latifolium L.
Epilobium montanum,Epilobium montanum L.
Epilobium palustre,Epilobium palustre L.
Epipactis palustris,Epipactis palustris (L.) Crantz
Epiprinus malayanus,Epiprinus malayanus Griff.
Epischoenus quadrangularis,Schoenus quadrangularis Boeckeler
Equisetum,
Equisetum arvense,Equisetum arvense L.
Equisetum fluviatile,Equisetum fluviatile L.
Equisetum hyemale,Equisetum hyemale L.
Equisetum palustre,Equisetum palustre L.
Equisetum pratense,Equisetum pratense Ehrh.
Equisetum scirpoides,Equisetum scirpoides Michx.
Equisetum sylvaticum,Equisetum sylvaticum L.
Equisetum variegatum,Equisetum variegatum Schleich. ex F.Weber & D.Mohr
Eragrostis arida,Eragrostis tephrosanthos Roem. & Schult.
Eragrostis cilianensis,Eragrostis cilianensis (All.) Janch.
Eragrostis curvula,Eragrostis curvula (Schrad.) Nees
Eragrostis mexicana,Eragrostis mexicana (Hornem.) Link
Eragrostis polytricha,Eragrostis polytricha Nees
Eragrostis spectabilis,Eragrostis spectabilis (Pursh) Steud.
Eragrostis trichodes,Eragrostis trichodes (Nutt.) Alph.Wood
Erechtites hieracifolia,
Erepsia anceps,Erepsia anceps (Haw.) Schwantes
Erepsia bracteata,Erepsia bracteata (Aiton) Schwantes
Erepsia promontorii,Erepsia promontorii L.Bolus
Eriastrum diffusum,Eriastrum diffusum (A.Gray) H.Mason
Erica abietina,Erica abietina L.
Erica axillaris,Erica axillaris Thunb.
Erica bruniades,Erica bruniades L.
Erica capensis,Erica capensis T.M.Salter
Erica capillaris,Erica capillaris Bartl.
Erica cerinthoides,Erica cerinthoides L.
Erica clavisepala,Erica clavisepala L.Guthrie & Bolus
Erica coccinea,Erica coccinea L.
Erica corifolia,
Erica eburnea,Erica eburnea T.M.Salter
Erica ericoides,Erica ericoides (L.) E.G.H.Oliv.
Erica exleeana,Erica exleeana E.G.H.Oliv.
Erica glabella,Erica glabella Thunb.
Erica gnaphaloides,
Erica hispidula,Erica hispidula L.
Erica imbricata,Erica imbricata L.
Erica labialis,Erica labialis Salisb.
Erica laeta,Erica laeta Bartl.
Erica mammosa,Erica mammosa L.
Erica multiflora,Erica multiflora L.
Erica muscosa,Erica muscosa (Aiton) E.G.H.Oliv.
Erica palliiflora,Erica palliiflora Salisb.
Erica parviflora,Erica parviflora L.
Erica plukenetii,Erica plukenetii L.
Erica pulchella,Erica pulchella Houtt.
Erica similis,Erica similis (N.E.Br.) E.G.H.Oliv.
Erica spumosa,Erica spumosa L.
Erica subdivaricata,Erica subdivaricata P.J.Bergius
Erica tristis,Erica tristis Bartl.
Ericameria nana,Ericameria nana Nutt.
Erigeron,
Erigeron alpinus,Erigeron alpinus L.
Erigeron annuus,Erigeron annuus (L.) Desf.
Erigeron borealis,Erigeron borealis (Vierh.) Simmons
Erigeron caucasicus,Erigeron caucasicus Steven
Erigeron concinnus,Erigeron concinnus Torr. & A.Gray
Erigeron corymbosus,Erigeron corymbosus Nutt.
Erigeron divergens,Erigeron divergens Torr. & A.Gray
Erigeron eatonii,Erigeron eatonii A.Gray
Erigeron engelmannii,Erigeron engelmannii A.Nelson
Erigeron filifolius,Erigeron filifolius (Hook.) Nutt.
Erigeron flagellaris,Erigeron flagellaris A.Gray
Erigeron philadelphicus,Erigeron philadelphicus L.
Erigeron pumilus,Erigeron pumilus Nutt.
Erigeron strigosus,Erigeron strigosus Muhl. ex Willd.
Erigeron uniflorus,Erigeron uniflorus L.
Eriocaulon decangulare,Eriocaulon decangulare L.
Eriocephalus racemosus,Eriocephalus racemosus L.
Eriochloa lemmoni,Achnatherum lemmonii (Vasey & Scribn.) Barkworth
Eriogonum,
Eriogonum abertianum,Eriogonum abertianum Torr.
Eriogonum heracleoides,Eriogonum heracleoides Nutt.
Eriogonum longifolium,Eriogonum longifolium Nutt.
Eriogonum microthecum,Eriogonum microthecum Nutt.
Eriogonum ovalifolium,Eriogonum ovalifolium Nutt.
Eriogonum polycladon,Eriogonum polycladon Benth.
Eriogonum rotundifolium,Eriogonum rotundifolium Benth.
Eriogonum wrightii,Eriogonum wrightii Torr. ex Benth.
Eriolaena quinquelocularis,Eriolaena quinquelocularis (Wight & Arn.) Wight
Eriophorum,
Eriophorum angustifolium,Eriophorum angustifolium Honck.
Eriophorum scheuchzeri,Eriophorum scheuchzeri Hoppe
Eriophorum triste,Eriophorum angustifolium Honck.
Eriophorum vaginatum,Eriophorum vaginatum L.
Eriotheca gracilipes,Eriotheca gracilipes (K.Schum.) A.Robyns
Eriotheca pubescens,Eriotheca pubescens (Mart. & Zucc.) Schott & Endl.
Erodium cicutarium,Erodium cicutarium (L.) L'Hér. ex Aiton
Erodium texanum,Erodium texanum A.Gray
Erophila verna,Draba verna L.
Erycibe albida,Erycibe albida Prain
Eryngium ciliatum,Eryngium ciliatum Cham. & Schltdl.
Eryngium horridum,Eryngium horridum Malme
Eryngium pristis,Eryngium pristis Cham. & Schltdl.
Eryngium sanguisorba,Eryngium sanguisorba Cham. & Schltdl.
Eryotheca gracilipes,
Erysimum asperum,Erysimum asperum (Nutt.) DC.
Erythrina,
Erythrina costaricensis,Erythrina costaricensis Micheli
Erythrina indica,Erythrina indica R.Vig.
Erythroxylum,
Erythroxylum australe,Erythroxylum australe F.Muell.
Erythroxylum citrifolium,Erythroxylum citrifolium A.St.-Hil.
Erythroxylum cuneatum,Erythroxylum cuneatum (Miq.) Kurz
Erythroxylum cuneifolium,Erythroxylum cuneifolium (Mart.) O.E.Schulz
Erythroxylum daphnites,Erythroxylum daphnites Mart.
Erythroxylum deciduum,Erythroxylum deciduum A.St.-Hil.
Erythroxylum macrophyl,Erythroxylum macrophyllum Cav.
Erythroxylum macrophyllum,Erythroxylum macrophyllum Cav.
Erythroxylum panamense,Erythroxylum panamense Turcz.
Escallonia bifida,Escallonia bifida Link & Otto
Eschscholtzia mexicana,
Eschweilera caudiculata,Eschweilera caudiculata R.Knuth
Escobaria missouriensis,Escobaria missouriensis (Sweet) D.R.Hunt
Escobaria vivipara,Escobaria vivipara (Nutt.) Buxb.
Esenbeckia febrifuga,Esenbeckia febrifuga (A.St.-Hil.) A.Juss. ex Mart.
Esenbeckia grandiflora,Esenbeckia grandiflora Mart.
Esenbeckia leiocarpa,Esenbeckia leiocarpa Engl.
Euclea racemosa,Euclea racemosa L.
Eugenia alnifolia,Eugenia alnifolia McVaugh
Eugenia anastomosans,Eugenia anastomosans DC.
Eugenia aurata,Eugenia aurata O.Berg
Eugenia barnardi,
Eugenia blastantha,Eugenia blastantha (O.Berg) D.Legrand
Eugenia castanea,Syzygium castaneum (Merr.) Merr. & L.M.Perry
Eugenia ceraina,
Eugenia cerasiformis,Syzygium racemosum (Blume) DC.
Eugenia chlorantha,Syzygium chloranthum (Duthie) Merr. & L.M.Perry
Eugenia claviflora,Syzygium claviflorum (Roxb.) Wall. ex A.M.Cowan & Cowan
Eugenia coloradoensis,Eugenia florida DC.
Eugenia cumingiana,
Eugenia densiflora,Syzygium pycnanthum Merr. & L.M.Perry
Eugenia duthieana,Syzygium duthieanum (King) Masam.
Eugenia dyeriana,Syzygium dyerianum (King) Chantar. & J.Parn.
Eugenia dysenterica,Eugenia dysenterica DC.
Eugenia excelsa,Eugenia excelsa O.Berg
Eugenia fastigiata,Syzygium fastigiatum (Blume) Merr. & L.M.Perry
Eugenia florida,Eugenia florida DC.
Eugenia flosculifera,Syzygium flosculiferum (M.R.Hend.) Sreek.
Eugenia galalonensis,Eugenia galalonensis (C.Wright ex Griseb.) Krug & Urb.
Eugenia hiemalis,Eugenia hiemalis Cambess.
Eugenia koordersiana,Syzygium koordersianum (King) I.M.Turner
Eugenia leptostemon,Syzygium leptostemon (Korth.) Merr. & L.M.Perry
Eugenia ligustrina,Eugenia ligustrina (Sw.) Willd.
Eugenia longipedunculata,Eugenia blastantha (O.Berg) D.Legrand
Eugenia myrcianthes,Eugenia myrcianthes Nied.
Eugenia napiformis,Syzygium napiforme (Koord. & Valeton) Merr. & L.M.Perry
Eugenia nesiotica,Eugenia nesiotica Standl.
Eugenia nigricans,Syzygium nigricans (King) Merr. & L.M.Perry
Eugenia oblongifolia,Calycorectes grandifolius O.Berg
Eugenia oerstediana,Eugenia oerstediana O.Berg
Eugenia pachyphylla,Syzygium pachyphyllum (Kurz) Merr. & L.M.Perry
Eugenia pluriflora,Eugenia pluriflora DC.
Eugenia polita,Syzygium politum (King) I.M.Turner
Eugenia polyantha,Eugenia polyantha Barb.Rodr.
Eugenia prainiana,
Eugenia pseudocrenulata,Syzygium pseudocrenulatum (M.R.Hend.) I.M.Turner
Eugenia pseudoglauca,Syzygium glaucum (King) Chantar. & J.Parn.
Eugenia pseudosubtilis,Syzygium borneense (Miq.) Miq.
Eugenia pustulata,Syzygium pustulatum (Duthie) Merr.
Eugenia pyriformis,Eugenia pyriformis Cambess.
Eugenia ramboi,Eugenia ramboi D.Legrand
Eugenia repanda,Eugenia repanda O.Berg
Eugenia ridleyi,Syzygium ridleyi (King) Chantar. & J.Parn.
Eugenia scortechinii,Syzygium scortechinii (King) Chantar. & J.Parn.
Eugenia speciosa,Eugenia speciosa Cambess.
Eugenia spicata,Syzygium zeylanicum (L.) DC.
Eugenia subdecussata,Syzygium subdecussatum (Duthie) I.M.Turner
Eugenia subterminalis,Eugenia subterminalis DC.
Eugenia syzygioides,Syzygium syzygioides (Miq.) Merr. & L.M.Perry
Eugenia tumida,Syzygium pyrifolium (Blume) DC.
Eugenia uniflora,Eugenia uniflora L.
Eugenia uruguayensis,Eugenia uruguayensis Cambess.
Eugenia uvalha,Eugenia pyriformis Cambess.
Eugenia valdevenosa,Syzygium valdevenosum (Duthie) Merr. & L.M.Perry
Eugenia variolosa,Syzygium variolosum (King) Chantar. & J.Parn.
Eugenia virens,Syzygium glabratum (DC.) Veldkamp
Euodia glabra,Melicope glabra (Blume) T.G.Hartley
Euodia hylandii,Euodia hylandii T.G.Hartley
Euodia roxburghiana,Melicope lunu-ankenda (Gaertn.) T.G.Hartley
Euonymus indicus,Euonymus indicus B.Heyne ex Wall.
Euonymus javanicus,Euonymus indicus B.Heyne ex Wall.
Eupatorium altissimum,Eupatorium altissimum L.
Eupatorium ascendens,Chromolaena ascendens (Sch.Bip. ex Baker) R.M.King & H.Rob.
Eupatorium capillifolium,Eupatorium capillifolium (Lam.) Small ex Porter & Britton
Eupatorium hyssopifolium,Eupatorium hyssopifolium L.
Eupatorium intermedium,Grazielia intermedia (DC.) R.M.King & H.Rob.
Eupatorium ivaefolium,
Eupatorium ligulaefolium,
Euphorbia,
Euphorbia ammannioides,Euphorbia bombensis Jacq.
Euphorbia corollata,Euphorbia corollata L.
Euphorbia cyathophora,Euphorbia heterophylla L.
Euphorbia cyparissias,Euphorbia cyparissias L.
Euphorbia davidii,Euphorbia davidii Subils
Euphorbia dentata,Euphorbia dentata Michx.
Euphorbia erythrina,Euphorbia erythrina Link
Euphorbia esula,Euphorbia esula L.
Euphorbia exstipulata,Euphorbia exstipulata Engelm.
Euphorbia genistoides,Euphorbia genistoides P.J.Bergius
Euphorbia geyeri,Euphorbia geyeri Engelm. & A.Gray
Euphorbia hexagona,Euphorbia hexagona Nutt. ex Spreng.
Euphorbia marginata,Euphorbia marginata Pursh
Euphorbia micromera,Euphorbia micromera Boiss. ex Engelm.
Euphorbia selloi,Euphorbia selloi (Klotzsch & Garcke) Boiss.
Euphorbia serpyllifolia,Euphorbia serpyllifolia Pers.
Euphorbia serrula,Euphorbia serrula Engelm.
Euphorbia silenifolia,Euphorbia silenifolia (Haw.) Sweet
Euphorbia spathulata,Euphorbia spathulata Lam.
Euphorbia tuberosa,Euphorbia tuberosa L.
Euphrasia,
Euphrasia arctica,Euphrasia arctica Lange ex Rostr.
Euphrasia frigida,Euphrasia frigida Pugsley
Euphrasia minima,Euphrasia minima Schloss.
Euphrasia montana,Euphrasia officinalis L.
Euphrasia officinalis,Euphrasia officinalis L.
Euphrasia ossica,Euphrasia ossica Juz. ex Ganesch.
Euphrasia rostkoviana,Euphrasia officinalis L.
Eupomatia laurina,Eupomatia laurina R.Br.
Euroschinus falcatus,Euroschinus falcatus Hook.f.
Eurycoma longifolia,Eurycoma longifolia Jack
Euryops abrotanifolius,Euryops abrotanifolius (L.) DC.
Euterpe edulis,Euterpe edulis Mart.
Euterpe precatoria,Euterpe precatoria Mart.
Euthamia graminifolia,Euthamia graminifolia (L.) Nutt.
Eutrema edwardsii,
Evax prolifera,Diaperia prolifera (Nutt. ex DC.) Nutt.
Evolvulus nuttalianus,
Evolvulus nuttallianus,Evolvulus nuttallianus Roem. & Schult.
Evolvulus sericeus,Evolvulus sericeus Sw.
Exomis microphylla,Exomis microphylla (Thunb.) Aellen
Fabaceae,
Fagraea cambagei,Fagraea cambagei Domin
Fagraea fagraeacea,Fagraea fagraeacea (F.Muell.) Druce
Fagraea racemosa,Utania racemosa (Jack) Sugumaran
Fagus grandifolia,Fagus grandifolia Ehrh.
Fagus sylvatica,Fagus sylvatica L.
Fahrenheitia pendula,Paracroton pendulus (Hassk.) Miq.
Fahrenheitia zeylanica,Paracroton pendulus (Hassk.) Miq.
Falkia repens,Falkia repens L.f.
Fallugia paradoxa,Fallugia paradoxa (D.Don ex Tilloch & Taylor) Endl. ex Torr.
Faradaya splendida,Faradaya splendida F.Muell.
Faramea,
Faramea calyptrata,Faramea calyptrata C.M.Taylor
Faramea coffeoides,Faramea coffeoides C.M.Taylor
Faramea luteovirens,Faramea luteovirens Standl.
Faramea montevidensis,Faramea montevidensis (Cham. & Schltdl.) DC.
Faramea multiflora,Faramea multiflora A.Rich.
Faramea oblongifolia,Faramea oblongifolia Standl.
Faramea occidentalis,Faramea occidentalis (L.) A.Rich.
Festuca,
Festuca arizonica,Festuca arizonica Vasey
Festuca arundinacea,Festuca rubra L.
Festuca baffinensis,Festuca baffinensis Polunin
Festuca brunnescens,Festuca brunnescens (Tzvelev) Galushko
Festuca halleri,Festuca halleri All.
Festuca octoflora,Vulpia octoflora (Walter) Rydb.
Festuca ovina,Festuca ovina L.
Festuca pratensis,Festuca ovina L.
Festuca pulchella,Festuca pulchella Schrad.
Festuca quadriflora,Festuca quadriflora Honck.
Festuca richardsonii,Festuca richardsonii Hook.
Festuca rubra,Festuca rubra L.
Festuca rupicola,Festuca rupicola Heuff.
Festuca scabra,Festuca scabra Vahl
Festuca sciurea,Vulpia elliotea (Raf.) Fernald
Festuca varia,Festuca varia Haenke
Festuca violacea,Festuca violacea Ser. ex Gaudin
Festuca vivipara,Festuca vivipara (L.) Sm.
Ficinia anceps,Ficinia anceps Nees
Ficinia brevifolia,Ficinia brevifolia Nees ex Kunth
Ficinia bulbosa,Ficinia bulbosa (L.) Nees
Ficinia capitella,Ficinia capitella (Thunb.) Nees
Ficinia deusta,Ficinia deusta (P.J.Bergius) Levyns
Ficinia ecklonea,Ficinia ecklonea (Steud.) Nees
Ficinia indica,Ficinia indica (Lam.) H.Pfeiff.
Ficinia nigrescens,Ficinia nigrescens (Schrad.) J.Raynal
Ficinia nodosa,Ficinia nodosa (Rottb.) Goetgh. & al.
Ficinia oligantha,Ficinia oligantha (Steud.) J.Raynal
Ficinia paradoxa,Ficinia paradoxa (Schrad.) Nees
Ficinia pinguior,Ficinia pinguior C.B.Clarke
Ficinia ramosissima,Ficinia ramosissima Kunth
Ficinia rigida,Ficinia rigida Levyns
Ficinia secunda,Ficinia secunda (Vahl) Kunth
Ficinia stolonifera,Ficinia stolonifera Boeckeler
Ficus adhatodifolia,Ficus adhatodifolia Schott
Ficus andicola,Ficus andicola Standl.
Ficus benghalensis,Ficus benghalensis L.
Ficus bullenei,Ficus matiziana Dugand
Ficus caldasiana,Ficus caldasiana Dugand
Ficus cervantesiana,Ficus cervantesiana Standl. & L.O.Williams
Ficus chartacea,Ficus chartacea (Wall. ex Kurz) Wall. ex King
Ficus citrifolia,Ficus citrifolia Mill.
Ficus congesta,Ficus congesta Roxb.
Ficus costaricana,Ficus costaricana (Liebm.) Miq.
Ficus crassipes,Ficus crassipes F.M.Bailey
Ficus cuatrecasana,Ficus cuatrecasana Dugand
Ficus destruens,Ficus destruens F.Muell. ex C.T.White
Ficus drupacea,Ficus drupacea Thunb.
Ficus eximia,Ficus eximia Schott
Ficus fistulosa,Ficus fistulosa Reinw. ex Blume
Ficus fulva,Ficus fulva Reinw. ex Blume
Ficus glandulifera,Ficus glandulifera (Wall. ex Miq.) King
Ficus grossularioides,Ficus grossularioides Burm.f.
Ficus guaranitica,Ficus guaranitica Chodat
Ficus hirsuta,Ficus hirsuta Schott
Ficus hispida,Ficus hispida L.f.
Ficus insipida,Ficus insipida Willd.
Ficus lagoensis,Ficus lagoensis C.C.Berg & Carauta
Ficus lamponga,Ficus lamponga Miq.
Ficus leptoclada,Ficus leptoclada Benth.
Ficus luschnathiana,Ficus luschnathiana (Miq.) Miq.
Ficus matiziana,Ficus matiziana Dugand
Ficus maxima,Ficus maxima Mill.
Ficus nervosa,Ficus nervosa B.Heyne ex Roth
Ficus nodosa,Ficus nodosa Teijsm. & Binn.
Ficus nymphaeifolia,Ficus nymphaeifolia Mill.
Ficus obliqua,Ficus obliqua G.Forst.
Ficus obscura,Ficus obscura Blume
Ficus obtusifolia,Ficus obtusifolia Kunth
Ficus pertusa,Ficus pertusa L.f.
Ficus pleurocarpa,Ficus pleurocarpa F.Muell.
Ficus popenoei,Ficus popenoei Standl.
Ficus religiosa,Ficus religiosa L.
Ficus schwarzii,Ficus schwarzii Koord.
Ficus scortechinii,Ficus ribes Reinw. ex Blume
Ficus septica,Ficus septica Burm.f.
Ficus sinuaata,
Ficus subandina,Ficus citrifolia Mill.
Ficus tonduzii,Ficus tonduzii Standl.
Ficus trigonata,Ficus trigonata L.
Ficus triradiata,Ficus triradiata Corner
Ficus tsjakela,Ficus tsjakela Burm.f.
Ficus vasculosa,Ficus vasculosa Wall. ex Miq.
Ficus virens,Ficus virens Aiton
Ficus watkinsiana,Ficus watkinsiana F.M.Bailey
Ficus yoponensis,Ficus yoponensis Desv.
Filipendula ulmaria,Filipendula ulmaria (L.) Maxim.
Filipendula vulgaris,Filipendula vulgaris Moench
Fimbristylis caroliniana,Fimbristylis caroliniana (Lam.) Fernald
Firmiana papuana,Firmiana papuana Mildbr.
Flacourtia indica,Flacourtia indica (Burm.f.) Merr.
Flacourtia montana,Flacourtia montana J.Graham
Flacourtia rukam,Flacourtia rukam Zoll. & Moritzi
Flaveria linearis,Flaveria linearis Lag.
Flindersia acuminata,Flindersia acuminata C.T.White
Flindersia bourjotiana,Flindersia bourjotiana F.Muell.
Flindersia brayleyana,Flindersia brayleyana F.Muell.
Flindersia ifflana,
Flindersia laevicarpa,Flindersia laevicarpa C.T.White & W.D.Francis
Flindersia pimenteliana,Flindersia pimenteliana F.Muell.
Flindersia schottiana,Flindersia schottiana F.Muell.
Fontainea picrosperma,Fontainea picrosperma C.T.White
Fragaria virginiana,Fragaria virginiana Duchesne
Franciscodendron laurifolium,Franciscodendron laurifolium (F.Muell.) B.Hyland & Steenis
Fraxinus,
Fraxinus americana,Fraxinus americana L.
Fraxinus angustifolia,Fraxinus angustifolia Vahl
Fraxinus excelsior,Fraxinus excelsior L.
Fraxinus nigra,Fraxinus nigra Marshall
Fraxinus pennsylvanica,
Fritillaria atropurpurea,Fritillaria atropurpurea Nutt.
Fritillaria collina,Fritillaria collina Adams
Fritillaria pudica,Fritillaria pudica (Pursh) Spreng.
Fumana ericoides,Fumana ericoides (Cav.) Gand.
Fumana thymifolia,Fumana thymifolia (L.) Spach
Funastrum crispum,Funastrum crispum (Benth.) Schltr.
Funastrum cynanchoides,Funastrum cynanchoides (Decne.) Schltr.
Gaertnera oblanceolata,Gaertnera oblanceolata King & Gamble
